id,date,heure,fournisseur,montant,categorie,validateur
T0001,2025-08-01,14:30,Paie personnel — RH interne,1588010,salaires,M. Tchamba P.
T0002,2025-10-30,08:30,Paie personnel — RH interne,2340770,salaires,Mme. Fotso K.
T0003,2025-01-06,11:30,Holdings Afrique Centrale,807340,investissement,M. Nguema J.
T0004,2025-05-30,12:30,Boulangerie Le Pain du Quartier,2126210,fournitures,Mme. Bekolo A.
T0005,2025-10-09,14:30,ETS Mendong Fournitures,662460,fournitures,M. Nguema J.
T0006,2025-08-06,12:45,Maintenance Bureautique SARL,1249030,services,Mme. Etoa L.
T0007,2025-05-20,11:00,Holdings Afrique Centrale,1427400,investissement,M. Abena N.
T0008,2025-09-23,14:00,Imprimerie Centrale Yaoundé,1089930,fournitures,M. Tchamba P.
T0009,2025-01-17,13:45,Total Energies CM,435300,transport,Mme. Bekolo A.
T0010,2025-01-29,15:30,Maintenance Bureautique SARL,475240,services,M. Nguema J.
T0011,2025-11-18,13:15,Holdings Afrique Centrale,1811690,investissement,Mme. Etoa L.
T0012,2025-03-14,09:30,SABC Distribution,1669830,fournitures,M. Tchamba P.
T0013,2025-05-07,09:45,Paie personnel — RH interne,995810,salaires,M. Tchamba P.
T0014,2025-09-15,11:00,CDE,2148080,energie,Mme. Etoa L.
T0015,2025-10-02,09:45,Cabinet Me Nkodo,337650,services,M. Tchamba P.
T0016,2025-12-16,13:45,Taxi Union Douala,477950,transport,M. Tchamba P.
T0017,2025-10-13,08:00,Paie personnel — RH interne,1358050,salaires,M. Abena N.
T0018,2025-09-24,10:45,Total Energies CM,705420,transport,M. Tchamba P.
T0019,2025-07-16,13:45,Total Energies CM,643950,transport,Mme. Bekolo A.
T0020,2025-11-17,09:00,Cabinet Me Nkodo,1979420,services,M. Abena N.
T0021,2025-06-27,12:30,ETS Mendong Fournitures,22960,fournitures,Mme. Fotso K.
T0022,2025-01-15,10:15,Nettoyage Propre-Tech,2429310,services,M. Abena N.
T0023,2025-12-22,09:15,Agence Foncière du Centre,272410,immobilier,Mme. Etoa L.
T0024,2025-03-28,17:15,Cabinet Me Nkodo,2023040,services,M. Abena N.
T0025,2025-12-16,14:45,Agence Voyages Cameroun Express,1086480,transport,M. Nguema J.
T0026,2025-01-03,16:30,Paie personnel — RH interne,1224850,salaires,M. Tchamba P.
T0027,2025-04-14,13:45,Maintenance Bureautique SARL,1220640,services,M. Abena N.
T0028,2025-10-03,10:15,Maintenance Bureautique SARL,1066890,services,Mme. Etoa L.
T0029,2025-08-22,16:30,CDE,242110,energie,M. Nguema J.
T0030,2025-03-31,08:45,Nettoyage Propre-Tech,1867690,services,Mme. Bekolo A.
T0031,2025-08-04,13:00,Imprimerie Centrale Yaoundé,672820,fournitures,Mme. Fotso K.
T0032,2025-03-03,16:45,Imprimerie Centrale Yaoundé,1309050,fournitures,M. Abena N.
T0033,2025-04-16,10:00,Agence Foncière du Centre,670850,immobilier,Mme. Fotso K.
T0034,2025-11-13,17:45,Paie personnel — RH interne,2008160,salaires,M. Abena N.
T0035,2025-12-19,13:45,SNH Cameroun,366060,energie,Mme. Bekolo A.
T0036,2025-03-20,15:45,Paie personnel — RH interne,1581430,salaires,Mme. Bekolo A.
T0037,2025-05-19,16:00,GLOBAL INVEST LTD,619200,investissement,Mme. Fotso K.
T0038,2025-06-03,15:30,CDE,1096180,energie,M. Abena N.
T0039,2025-06-10,14:00,Holdings Afrique Centrale,2208660,investissement,Mme. Fotso K.
T0040,2025-02-17,10:00,Holdings Afrique Centrale,2275810,investissement,M. Abena N.
T0041,2025-07-18,08:15,Agence Foncière du Centre,1422430,immobilier,Mme. Bekolo A.
T0042,2025-04-09,11:45,ENEO,588320,energie,Mme. Fotso K.
T0043,2025-04-30,16:45,Agence Voyages Cameroun Express,1902480,transport,M. Abena N.
T0044,2025-01-21,17:15,Papeterie du Centre,240700,fournitures,M. Tchamba P.
T0045,2025-09-25,13:00,Maintenance Bureautique SARL,206180,services,Mme. Fotso K.
T0046,2025-02-07,13:00,Paie personnel — RH interne,2283170,salaires,Mme. Fotso K.
T0047,2025-05-01,15:15,Maintenance Bureautique SARL,2178820,services,M. Abena N.
T0048,2025-05-08,16:45,Boulangerie Le Pain du Quartier,1225820,fournitures,M. Abena N.
T0049,2025-04-17,14:00,Holdings Afrique Centrale,2029140,investissement,M. Abena N.
T0050,2025-03-12,09:15,Orange Cameroun,1563500,telecom,M. Abena N.
T0051,2025-11-07,16:15,Paie personnel — RH interne,421780,salaires,M. Abena N.
T0052,2025-07-25,13:00,CDE,1312500,energie,M. Nguema J.
T0053,2025-02-25,17:30,Promoteur Immobilier Littoral,596750,immobilier,Mme. Bekolo A.
T0054,2025-07-30,13:45,Nettoyage Propre-Tech,66930,services,M. Abena N.
